xc xc_err yc yc_err mag mag_err re re_err nsersic nsrsic_err BA BA_err PA PA_err sky sky_err error chi2nu prefix success_flag
26.8116 0.0286 26.7556 0.0447 8.5637 0.0099 5.3073 0.0758 0.6337 0.0156 0.628 0.0066 -26.7806 1.0294 -4.3772 5.0854 0.0 1.1962 VFID0683-UGC10961 1
20.8976 0.0053 21.1625 0.0041 6.1804 0.0019 3.3314 0.0091 0.6619 0.0039 0.7619 0.0016 -53.3764 0.3631 208.491 12.3482 0.0 2.8084 VFID0697-NGC5372 1
36.6402 0.2238 36.681 0.1534 9.2672 0.0602 7.8264 0.6469 0.9251 0.0825 0.6653 0.0322 -57.9805 5.7019 -5.9393 6.314 0.0 1.2199 VFID0707-UGC05862 1
24.8962 0.0077 25.0448 0.0092 8.1791 0.0062 2.7325 0.0234 0.9405 0.0091 0.8412 0.0041 74.2432 1.4698 38.619 5.2589 0.0 1.7866 VFID0720-MRK0847 1
33.8426 0.4413 32.7982 0.1995 10.1528 0.068 7.9584 0.7551 0.6705 0.1022 0.4387 0.029 -82.3345 3.4808 2.2818 4.9741 0.0 1.0944 VFID0753-UGC10854 1
13.4325 0.161 13.2529 0.2719 11.8049 0.2812 3.2639 1.1767 1.1491 0.4808 0.4465 0.0824 -35.8152 10.4475 -71.4283 17.3765 0.0 1.1597 VFID0754-VIIZw271 1
28.3016 0.4501 28.235 1.1012 10.6523 0.1387 8.1482 1.5934 0.5665 0.2129 0.4143 0.0652 -18.1311 7.1746 27.6541 7.1023 0.0 1.3149 VFID0755-UGC06912 1
115.5029 0.0473 116.0951 0.0227 6.8346 0.0097 15.9039 0.2077 1.2639 0.0137 0.304 0.002 65.8102 0.2086 9.1308 1.5332 0.0 1.9292 VFID0772-NGC5987 1
50.8024 0.0853 51.5378 0.0748 7.9831 0.015 8.6702 0.1792 0.8227 0.0211 0.8533 0.0119 -89.8837 3.9798 12.3778 2.9751 0.0 1.1911 VFID0776-UGC09837 1
15.5264 0.0692 16.1896 0.1012 10.0405 0.046 4.2556 0.2218 0.7656 0.0593 0.6881 0.0216 -31.4197 4.3338 -11.3592 9.8484 0.0 1.1172 VFID0783-UGC10968 1
30.0659 0.3274 29.8381 0.1214 10.26 0.0821 5.7125 0.6334 0.7947 0.1366 0.3683 0.0249 85.6173 3.0431 -21.9232 7.1807 0.0 1.1622 VFID0791-CGCG291-061 1
73.2684 0.7134 72.3214 0.8429 7.1675 1.134 122.3729 127.6818 2.3059 0.9104 0.4092 0.0404 39.816 3.9379 -35.4489 9.6597 0.0 1.1845 VFID0805-UGC08441 1
45.6766 0.0368 45.887 0.0534 6.9622 0.0068 7.9377 0.0787 0.6177 0.0103 0.6942 0.0052 -9.118 0.933 15.616 5.5439 0.0 1.4143 VFID0825-NGC3488 1
47.2669 0.065 47.7023 0.0585 10.0584 0.0665 3.1613 0.2723 1.1132 0.1029 0.8225 0.042 -59.7984 11.3167 22.8821 3.7675 0.0 1.1859 VFID0837-IC0875 1
74.3157 0.0355 74.6219 0.0201 6.6553 0.0049 11.0672 0.0752 0.7403 0.0073 0.294 0.0013 -60.2764 0.1408 6.8548 2.8283 0.0 1.3526 VFID0848-NGC2870 1
