xc xc_err yc yc_err mag mag_err re re_err nsersic nsrsic_err BA BA_err PA PA_err sky sky_err error chi2nu prefix success_flag
85.9061 0.0097 85.8296 0.011 5.0859 0.0059 10.1739 0.0913 2.1006 0.0146 0.7687 0.0031 5.9105 0.5649 -75.9242 4.2258 0.0 3.3631 VFID1176-NGC3729 1
30.4187 0.0168 29.7436 0.0204 7.6936 0.009 3.6493 0.0445 0.9479 0.0142 0.8733 0.0064 -0.2576 2.6434 107.6154 7.2715 0.0 1.2334 VFID1189-NGC3657 1
91.7349 0.0084 90.4359 0.0062 3.4635 0.004 4.3464 0.0197 3.1035 0.0254 0.8042 0.0021 39.2144 0.3559 -86.1385 6.1225 0.0 8.5327 VFID1198-NGC4102 1
56.0302 0.1643 58.1016 0.0998 6.4501 0.266 57.3728 15.3383 2.5638 0.2665 0.5677 0.019 89.8258 2.1054 -91.1865 11.6283 0.0 1.3255 VFID1200-UGC06983 1
48.5128 0.3425 51.9471 0.152 9.3536 0.0639 10.3237 0.8698 0.9485 0.0955 0.4346 0.0191 83.7615 2.5802 27.8032 3.7115 0.0 1.1651 VFID1222-UGC06840 1
33.6037 0.0385 34.5479 0.0546 9.7888 0.0551 2.8636 0.202 1.1626 0.0994 0.8506 0.0328 -13.6586 11.1186 -1.5618 6.1735 0.0 1.288 VFID1229-NGC3917A 1
13.573 0.0378 14.1032 0.0503 10.1048 0.0599 2.4023 0.2007 1.34 0.1334 0.887 0.0413 2.2151 15.326 -34.7861 16.5754 0.0 1.2022 VFID1232-MRK1488 1
36.8555 0.4104 37.0062 0.07 8.6575 0.0532 18.2877 1.3021 1.0235 0.0731 0.1574 0.0057 87.8183 0.5689 7.2427 6.2664 0.0 1.2661 VFID1244-UGC06667 1
44.5073 0.009 45.4488 0.0084 5.9808 0.0048 2.6626 0.0207 1.9126 0.0304 0.8206 0.0042 -40.48 0.9346 69.3085 7.1662 0.0 3.7946 VFID1262-CGCG273-018 1
65.1545 0.4614 65.2458 0.5214 9.085 0.0581 16.5823 1.3422 0.8047 0.0838 0.2285 0.0116 -40.9385 1.2577 13.3535 2.999 0.0 1.2358 VFID1283-UGC06399 1
34.7792 0.2028 36.1934 0.2564 9.0343 0.0474 7.7488 0.5076 0.75 0.0699 0.7886 0.0336 20.26 8.8388 -6.2888 6.4416 0.0 1.2049 VFID1288-UGC06922 1
38.5471 0.1228 39.9683 0.7704 12.3106 5.3544 10.4258 109.628 6.4776 27.651 0.5496 0.6335 -27.9279 63.0745 -14.7425 4.0806 0.0 1.1607 VFID1300-MCG+09-15-079 1
