xc xc_err yc yc_err mag mag_err re re_err nsersic nsrsic_err BA BA_err PA PA_err sky sky_err error chi2nu prefix success_flag
29.1651 0.2356 27.8199 0.2488 9.1239 2.8327 38.1308 133.9993 4.2616 4.3711 0.7672 0.2091 47.2188 33.4763 -24.622 24.3173 0.0 1.2191 VFID4312-IC3478 1
45.1558 0.0263 45.241 0.04 8.0736 0.0135 5.3562 0.0992 0.841 0.0227 0.4324 0.0046 -33.1774 0.6244 -1.7667 5.5907 0.0 1.2869 VFID4325-NGC4019 1
46.7962 0.2291 46.4304 0.0919 8.7013 0.5224 20.3673 12.4352 2.6623 0.7488 0.6915 0.0627 86.1017 11.4838 89.656 9.7924 0.0 1.3132 VFID4335-NGC4468 1
19.4258 0.0301 19.5437 0.0368 8.9881 0.0363 2.8911 0.1356 1.1615 0.0665 0.9529 0.027 -30.6386 24.5997 20.3534 16.8183 0.0 1.4661 VFID4337-MRK0756 1
115.0072 0.0179 114.7461 0.0213 4.8667 0.0026 13.6233 0.049 0.8072 0.0039 0.8362 0.002 -30.3384 0.6369 -68.2473 2.2943 0.0 1.545 VFID4386-NGC4689 1
110.6149 0.0148 111.4141 0.0175 6.7225 0.0141 7.6913 0.1504 1.8383 0.0275 0.8445 0.0076 19.8553 2.0869 -12.775 2.2463 0.0 1.3093 VFID4408-NGC4477 1
43.3513 0.1383 42.9883 0.2232 9.6162 0.081 5.8625 0.6234 0.9518 0.118 0.6441 0.0404 34.4531 6.8044 -4.4045 5.848 0.0 1.2763 VFID4424-NGC4479 1
127.6381 0.0155 128.3897 0.013 6.799 0.0123 6.9584 0.119 1.5561 0.0217 0.7156 0.0059 -85.8882 1.0174 -17.4446 2.1075 0.0 1.4797 VFID4448-NGC4473 1
49.3717 0.0411 49.3669 0.0256 8.6818 0.0199 3.2872 0.0886 0.8424 0.0267 0.7967 0.0126 -72.1376 3.7185 -23.4728 5.1309 0.0 1.4494 VFID4451-NGC4506 1
72.393 0.0138 72.3738 0.0221 5.7194 0.1318 66.4421 12.2508 4.823 0.2744 0.6125 0.0113 15.6246 1.1777 -70.3521 6.5167 0.0 1.3802 VFID4454-NGC4037 1
30.7518 0.2112 31.6057 0.2427 8.4896 0.048 12.8462 0.7117 0.8768 0.0658 0.3041 0.01 41.4888 1.105 6.2961 10.2244 0.0 1.2285 VFID4464-IC3742 1
23.0144 0.351 19.6125 0.5794 11.0837 0.1545 5.6025 0.59 0.1454 0.0951 0.4247 0.0525 -32.0888 5.277 -42.1217 11.3026 0.0 1.2954 VFID4466-IC2934 1
87.8562 0.0388 86.706 0.0626 6.1262 0.005 11.4743 0.0683 0.371 0.0059 0.6288 0.0039 -20.5551 0.518 -37.58 3.5954 0.0 1.6487 VFID4477-NGC4639 1
38.0159 0.0706 37.8939 0.113 7.974 0.0165 8.0703 0.1178 0.3239 0.0145 0.5318 0.0084 -23.4194 1.0715 32.568 7.6187 0.0 1.4658 VFID4480-NGC4165 1
48.5345 0.0716 48.4678 0.0917 8.8946 0.1152 6.6343 0.96 1.8789 0.2074 0.8596 0.0468 17.6333 17.2651 -27.0281 7.2684 0.0 1.7055 VFID4482-NGC4458 1
81.9871 0.0213 82.7759 0.0665 7.8266 0.0092 7.0882 0.0869 0.5042 0.0134 0.3032 0.0031 -13.4172 0.3261 -5.288 3.0408 0.0 1.3299 VFID4483-UGC08032 1
108.5509 0.0227 109.277 0.0378 7.6755 0.0228 5.7485 0.1778 1.4215 0.0393 0.7621 0.0124 14.8669 2.4264 -4.4919 2.4002 0.0 1.5061 VFID4497-NGC4461 1
143.4134 0.02 143.3337 0.0133 3.7226 0.0026 19.7154 0.0686 1.0659 0.0044 0.4584 0.0008 -56.4406 0.1072 -68.3985 4.0157 0.0 5.696 VFID4511-NGC4654 1
48.392 0.0205 49.1449 0.0181 8.1817 0.0141 3.3374 0.0609 0.9358 0.0199 0.8885 0.0097 -43.843 4.6314 14.2907 4.5856 0.0 1.1685 VFID4517-NGC4584 1
-999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 VFID4525-NGC4435 0
-999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 VFID4542-NGC4206 0
37.4651 1.3529 37.9259 0.4925 11.7361 14.377 92.9825 2926.8821 9.5002 104.5471 0.0463 0.0752 -65.2166 5.7082 21.1614 6.3116 1.0 1.2565 VFID4606-IC3056 1
48.0727 0.0598 48.3484 0.0839 8.726 0.0404 5.2293 0.2839 1.0781 0.061 0.7083 0.0226 -36.7848 4.1586 -4.9296 5.5875 0.0 1.2846 VFID4607-NGC4387 1
-999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 VFID4609-NGC4267 0
45.0192 0.2008 47.9324 0.5179 10.3827 0.1673 6.3243 1.3725 0.9511 0.213 0.4482 0.0524 -8.3665 6.758 -53.908 6.0307 0.0 1.3054 VFID4611-NGC4306 1
23.332 0.0647 22.0825 0.0908 8.7851 0.0278 4.9095 0.1847 0.8368 0.0446 0.7072 0.0162 18.9715 3.4103 78.3245 11.444 0.0 1.2936 VFID4693-NGC5058 1
78.7478 0.0649 79.0937 0.082 8.5207 0.0723 8.0377 0.8085 1.9291 0.1419 0.7259 0.0308 -14.299 5.4774 -10.7838 3.3765 0.0 1.3368 VFID4708-NGC4880 1
26.9808 0.7475 28.0068 1.519 8.1916 3.5348 77.8377 238.5554 2.1655 2.3325 0.2881 0.0638 24.2191 6.3358 9.8465 46.2357 0.0 1.3734 VFID4717-IC3349 1
55.797 0.068 54.6314 0.2278 9.1149 0.0574 6.71 0.5058 0.862 0.0765 0.3038 0.0129 -6.6085 1.5733 -10.5924 6.3174 0.0 2.3772 VFID4718-IC3099 1
67.0096 0.3443 65.8717 0.1409 9.5455 0.0683 6.9356 0.6265 0.7194 0.1016 0.4315 0.0251 72.6266 3.1398 -14.1338 3.862 0.0 1.3411 VFID4745-IC3718 1
51.4996 0.0089 51.6063 0.014 7.5906 0.0058 3.1416 0.0254 0.6789 0.0076 0.6616 0.0037 29.5355 0.6909 44.7469 4.8233 0.0 1.3395 VFID4747-NGC4476 1
52.7486 0.0348 53.3466 0.0421 7.8704 0.0185 5.0598 0.124 1.0704 0.0281 0.8529 0.0117 -26.4877 4.2082 7.0839 4.6797 0.0 1.212 VFID4756-NGC4478 1
50.7039 0.2558 49.3652 0.1324 8.0792 1.0193 53.1791 63.689 3.3763 1.4128 0.5266 0.0726 -60.4516 7.0001 -18.8154 11.1557 0.0 1.278 VFID4761-NGC4436 1
46.2009 0.3172 47.0582 0.5626 10.511 0.114 5.5521 0.9007 0.6594 0.1749 0.5573 0.0627 10.502 9.0268 -1.0424 5.1276 0.0 1.2313 VFID4768-NGC4431 1
-999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 VFID4773-NGC4486A 0
47.0289 0.0388 48.4641 0.0248 6.9613 0.0105 7.196 0.1052 0.9835 0.0163 0.6477 0.0051 67.8016 0.9234 -13.9551 6.1027 0.0 1.4591 VFID4792-NGC4351 1
36.2277 0.0105 37.3252 0.0101 7.2693 0.0064 3.0466 0.0271 0.9897 0.0105 0.8651 0.0047 71.3762 1.8091 28.2076 7.156 0.0 1.4226 VFID4818-NGC3773 1
28.6345 0.1701 27.6824 0.1268 10.862 0.2869 4.0213 1.5572 1.6906 0.6157 0.686 0.1283 61.9718 18.8359 28.4652 10.0065 0.0 1.2162 VFID4819-IC0767 1
64.1681 0.4518 69.4664 0.6963 11.5231 0.2322 7.9239 6.4279 0.0435 0.0783 0.3117 0.0471 -32.6002 3.3183 -16.1355 3.4253 1.0 1.2789 VFID4826-IC3720 1
-999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 VFID4833-NGC4641 0
74.2991 0.0057 74.0866 0.0085 6.738 0.0056 3.8072 0.0277 1.1473 0.0089 0.7199 0.003 27.0079 0.6168 17.5599 3.6331 0.0 1.4088 VFID4861-NGC4606 1
151.1028 0.0107 151.4358 0.004 3.5036 0.0275 81.5738 3.4498 5.5914 0.0726 0.7551 0.0032 75.4464 0.5963 -176.1585 4.2599 0.0 3.1869 VFID4877-MESSIER058 1
114.3123 0.012 114.4459 0.0159 6.0237 0.0032 8.9022 0.0417 0.8688 0.0055 0.3321 0.0009 -36.4947 0.1066 65.2811 2.1789 0.0 1.382 VFID4881-NGC4313 1
-999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 VFID4901-NGC4371 0
28.166 0.3159 34.1176 0.2738 10.0697 0.057 6.2242 0.4942 0.44 0.0815 0.3705 0.0276 49.8293 2.7008 9.9764 7.9628 0.0 1.3317 VFID4910-IC3358 1
60.3395 0.3224 59.268 0.1723 9.2149 0.0446 8.7754 0.5676 0.6195 0.0618 0.4617 0.0223 61.2193 2.6143 0.5371 3.6847 0.0 1.3486 VFID4915-NGC4497 1
19.351 0.2088 18.8316 0.2924 10.5536 0.0717 3.5721 0.3591 0.4712 0.0998 0.7642 0.0693 9.8968 14.1377 -4.502 11.8637 0.0 1.1813 VFID4935-IC3446 1
-999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 VFID4939-NGC4491 0
101.3103 0.0105 100.7637 0.0148 3.6945 0.0016 14.0968 0.0334 0.7894 0.0026 0.6964 0.001 29.7701 0.2032 -85.5369 5.3356 0.0 5.287 VFID4940-NGC3810 1
36.3726 0.2643 36.6054 0.5236 10.7023 0.2779 7.5357 2.7752 1.3536 0.4397 0.3893 0.0689 -26.885 7.7155 -0.9707 7.3885 0.0 1.2977 VFID4950-IC3413 1
-999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 VFID4960-NGC4330 0
-999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 VFID4967-NGC4528 0
-999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 VFID4969-NGC4754 0
75.0996 0.0108 59.016 0.0211 3.4702 0.004 14.6649 0.0892 1.3976 0.0086 0.4491 0.0014 18.6458 0.1539 -39.9783 16.4016 0.0 28.8471 VFID4977-NGC4567 1
-999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 VFID4978-NGC4568 0
49.903 0.2049 50.1787 0.1374 9.3811 0.0701 5.7211 0.5449 0.9736 0.1034 0.672 0.0359 -75.1279 6.5451 -36.0586 5.1304 0.0 1.2686 VFID4981-NGC4352 1
62.7282 0.0184 63.433 0.0155 7.7793 0.0134 3.6885 0.0682 1.1586 0.0225 0.8425 0.0082 -88.9937 2.6642 22.0844 3.8786 0.0 1.3787 VFID4988-NGC4660 1
104.6361 0.0204 105.0127 0.0316 7.6349 0.0224 7.0232 0.2139 1.5612 0.0398 0.6618 0.0098 13.1823 1.4264 2.8913 2.2934 0.0 1.3449 VFID4991-NGC4503 1
-999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 VFID4995-NGC4429 0
60.3226 0.0069 61.0706 0.0078 6.49 0.0055 3.9088 0.03 1.2861 0.01 0.8558 0.004 -27.791 1.174 5.7267 4.7334 0.0 1.6464 VFID5015-NGC4694 1
42.6958 0.3511 39.421 0.205 10.9625 4162.873 8.2034 15726.5801 0.014 0.009 0.4889 0.0504 -66.3873 3.2904 -0.0041 6.746 1.0 1.2772 VFID5025-IC3727 1
10.9825 0.3937 10.0641 1.0743 9.5237 0.4417 14.1305 5.4472 0.8263 0.2118 0.1931 0.0472 -20.0232 2.4382 -33.0766 56.4237 0.0 1.3976 VFID5048-IC3074 1
46.6496 0.0751 44.5731 0.0581 7.2028 0.0097 8.4557 0.0734 0.2998 0.0078 0.7267 0.0068 -83.5661 1.2317 -22.2205 5.7796 0.0 1.4188 VFID5081-NGC4390 1
48.1473 0.0184 47.8572 0.0117 7.4303 0.007 3.6481 0.0368 0.8384 0.0106 0.6915 0.0043 -67.9542 0.8328 8.1452 5.376 0.0 1.4123 VFID5091-NGC4119 1
57.5079 0.3015 57.8457 0.4908 10.8458 0.1309 3.8032 0.6719 0.5668 0.1829 0.6335 0.0842 -1.6445 13.7932 20.2876 4.5422 0.0 1.3218 VFID5105-IC3773 1
-999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 VFID5114-NGC4596 0
86.9529 0.0407 86.9366 0.0488 7.7765 0.0251 7.0729 0.2478 1.3881 0.0409 0.7532 0.0138 24.4458 2.7602 11.3109 2.772 0.0 1.2514 VFID5118-NGC4608 1
101.2176 0.0333 101.004 0.0615 6.0453 0.009 15.5663 0.1881 1.0182 0.0134 0.558 0.0035 -26.9736 0.5382 -53.0675 2.8649 0.0 1.3929 VFID5141-NGC4380 1
-999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 VFID5178-NGC4442 0
46.7999 0.0135 45.8195 0.0082 5.67 0.0026 6.681 0.0244 0.752 0.0052 0.3582 0.001 -58.5646 0.1034 24.6775 8.0967 0.0 2.4936 VFID5210-NGC4207 1
76.5489 0.0247 75.6396 0.0102 5.9642 0.0026 10.2226 0.0349 0.5375 0.004 0.2241 0.0007 -67.8171 0.059 -30.336 3.9575 0.0 1.73 VFID5252-NGC4316 1
41.0488 0.0077 41.449 0.0118 6.3189 0.0023 4.7034 0.0143 0.4348 0.0035 0.6461 0.0018 -22.8606 0.2938 88.8673 6.9435 0.0 1.7517 VFID5260-NGC4451 1
106.3265 0.0102 105.5641 0.0147 6.1433 0.0041 7.158 0.0424 0.937 0.0065 0.4184 0.0013 34.7978 0.1804 12.312 2.7353 0.0 1.3404 VFID5273-NGC4522 1
33.8632 0.1612 34.5703 0.1334 10.2416 0.0978 3.0832 0.4036 0.8997 0.1336 0.8897 0.0657 41.6309 34.2371 62.4736 8.0439 0.0 1.4078 VFID5287-IC3430 1
104.4445 0.0117 104.3472 0.0279 6.2475 0.0034 10.4216 0.0471 0.6618 0.0055 0.2358 0.0008 23.2776 0.08 0.4628 2.4251 0.0 1.3424 VFID5292-NGC4307 1
26.1626 0.6448 26.5727 0.3885 12.0534 0.3273 2.7135 1.2845 0.7214 0.4982 0.5585 0.1873 -67.3758 24.1202 56.5772 11.246 0.0 1.4152 VFID5302-UGC07314 1
57.9275 0.149 58.3695 0.1326 7.2019 0.0169 11.4292 0.2657 0.734 0.0219 0.9037 0.016 88.7877 7.5493 -25.3529 5.048 0.0 1.4094 VFID5309-NGC4411b 1
49.5967 0.1691 49.1454 0.179 7.7239 0.0217 9.7685 0.2977 0.6707 0.0304 0.9505 0.0211 8.63 20.1941 -39.1181 5.7364 0.0 1.3033 VFID5312-NGC4411 1
85.8275 0.0127 86.5153 0.0074 6.7898 0.0065 4.671 0.0414 1.2593 0.0114 0.657 0.0032 84.9343 0.5272 -11.5059 3.0002 0.0 1.3318 VFID5326-NGC4469 1
35.149 0.0453 35.946 0.073 8.4099 0.0264 5.4607 0.1855 0.9624 0.0351 0.6526 0.0127 12.6382 2.2639 -49.5227 7.4402 0.0 1.2244 VFID5330-UGC07590 1
71.3724 0.0086 71.353 0.0105 5.3209 0.0134 12.103 0.2603 3.0606 0.0395 0.7878 0.0052 67.8842 1.0101 -117.3588 7.6208 0.0 2.2456 VFID5340-NGC4519 1
42.2741 0.3621 44.1176 0.5189 12.3377 0.2997 2.7065 8.9265 0.0418 0.3182 0.7073 0.2083 19.0151 24.8252 -6.1723 5.6964 1.0 1.2639 VFID5341-UGC07596 1
